epoch,train_acc,train_loss,test_full,test_100,flops_T,time_s,sparsity,acc_airplane,acc_automobile,acc_bird,acc_cat,acc_deer,acc_dog,acc_frog,acc_horse,acc_ship,acc_truck
1,0.70508,0.8611640822982788,0.8018,0.8,1.1173962,45.30245614051819,0.0,0.71,0.8,0.86,0.74,0.76,0.59,0.84,0.9,0.94,0.86
2,0.82216,0.5221996136951447,0.8512,0.844,2.2347924,92.06281447410583,0.0,0.8,0.91,0.86,0.73,0.8,0.73,0.84,0.91,0.94,0.92
3,0.85632,0.42321829694747926,0.862,0.864,3.3521886,138.77229261398315,0.0,0.87,0.91,0.8,0.79,0.84,0.75,0.88,0.92,0.95,0.93
4,0.87714,0.3616693764400482,0.87,0.873,4.4695848,185.36630272865295,0.0,0.93,0.98,0.85,0.78,0.83,0.82,0.84,0.95,0.91,0.84
5,0.8891,0.32573439343452454,0.8766,0.887,5.586981,232.7643883228302,0.0,0.88,0.97,0.83,0.79,0.82,0.89,0.89,0.96,0.91,0.93
6,0.90242,0.28633069153785706,0.883,0.888,6.7043772,279.094601392746,0.0,0.88,0.98,0.88,0.74,0.88,0.83,0.89,0.98,0.97,0.85
7,0.91056,0.26330958254694936,0.8937,0.895,7.8217734,325.75182461738586,0.0,0.88,0.95,0.86,0.76,0.92,0.82,0.93,0.98,0.9,0.95
8,0.91828,0.2398933378314972,0.8863,0.897,8.9391696,372.6205334663391,0.0,0.91,0.95,0.72,0.77,0.9,0.92,0.95,0.96,0.95,0.94
9,0.92478,0.21734594871520996,0.9019,0.904,10.0565658,418.9617066383362,0.0,0.92,0.92,0.85,0.76,0.92,0.94,0.9,0.96,0.94,0.93
10,0.93302,0.19906381669044496,0.9057,0.903,11.173962,465.6415982246399,0.0,0.81,0.92,0.92,0.76,0.91,0.9,0.92,0.96,0.96,0.97
11,0.93676,0.18445491008758544,0.9095,0.92,12.2913582,512.6311223506927,0.0,0.94,0.98,0.91,0.85,0.92,0.87,0.88,0.99,0.92,0.94
12,0.94142,0.16723184470415114,0.9067,0.917,13.4087544,558.7676749229431,0.0,0.91,0.99,0.91,0.85,0.85,0.9,0.9,0.95,0.96,0.95
13,0.9451,0.15977208612680435,0.9118,0.918,14.5261506,605.1767950057983,0.0,0.88,0.99,0.89,0.81,0.94,0.84,0.94,0.99,0.95,0.95
14,0.94842,0.14549795817017555,0.9127,0.919,15.6435468,652.3024482727051,0.0,0.89,0.99,0.85,0.9,0.88,0.84,0.93,0.99,0.98,0.94
15,0.9526,0.13797443071365356,0.9143,0.914,16.760943,698.5211787223816,0.0,0.92,0.98,0.84,0.86,0.9,0.85,0.93,0.98,0.98,0.9
16,0.95608,0.12884119600892066,0.9171,0.923,17.8783392,744.8160853385925,0.0,0.85,0.97,0.9,0.91,0.92,0.86,0.89,0.98,0.96,0.99
17,0.95724,0.12135518349289894,0.916,0.926,18.9957354,791.8963963985443,0.0,0.87,0.97,0.94,0.79,0.93,0.91,0.93,0.98,0.94,1.0
18,0.96112,0.10982736598849296,0.9215,0.926,20.1131316,838.4595160484314,0.0,0.89,0.96,0.92,0.85,0.98,0.84,0.92,0.98,0.93,0.99
19,0.96276,0.10633370460063218,0.9195,0.927,21.2305278,885.069753408432,0.0,0.96,0.94,0.96,0.92,0.92,0.78,0.94,0.95,0.96,0.94
20,0.9656,0.09959110082268714,0.9179,0.912,22.347924,931.8802363872528,0.0,0.95,0.96,0.84,0.81,0.86,0.85,0.97,0.97,0.93,0.98
21,0.96542,0.09804164166808128,0.9242,0.94,23.4653202,978.723073720932,0.0,0.95,0.99,0.9,0.9,0.94,0.88,0.91,1.0,0.97,0.96
22,0.9701,0.08783780868887901,0.9232,0.919,24.5827164,1025.3834824562073,0.0,0.92,0.95,0.86,0.88,0.91,0.84,0.96,0.96,0.96,0.95
23,0.96904,0.08587180446445943,0.9221,0.928,25.7001126,1072.192430973053,0.0,0.93,0.96,0.92,0.88,0.89,0.88,0.93,0.98,0.95,0.96
24,0.97126,0.08096593098223209,0.9269,0.94,26.8175088,1119.4740052223206,0.0,0.91,0.98,0.88,0.89,0.99,0.9,0.96,0.98,0.99,0.92
25,0.97496,0.0747291117477417,0.9179,0.925,27.934905,1165.7428889274597,0.0,0.88,0.98,0.9,0.86,0.94,0.91,0.89,0.96,0.97,0.96
26,0.97392,0.07577424153655768,0.9297,0.927,29.0523012,1212.31760597229,0.0,0.89,0.94,0.88,0.88,0.94,0.91,0.92,0.99,0.95,0.97
27,0.97572,0.07301911929428577,0.9237,0.931,30.1696974,1259.18301820755,0.0,0.91,1.0,0.9,0.83,0.94,0.9,0.94,0.97,0.95,0.97
28,0.97654,0.06853129052184523,0.9279,0.927,31.2870936,1305.3381986618042,0.0,0.93,0.98,0.91,0.86,0.95,0.82,0.92,1.0,0.95,0.95
29,0.97796,0.06337730265751482,0.9236,0.926,32.4044898,1351.6807270050049,0.0,0.92,0.95,0.87,0.92,0.91,0.85,0.92,0.99,0.95,0.98
30,0.9779,0.06380332030653954,0.9252,0.932,33.521886,1398.4226078987122,0.0,0.94,0.95,0.89,0.86,0.94,0.91,0.92,0.98,0.98,0.95
